title,author,isbn,price,description,imageUrl,thumbnailUrl,quantity,year,genres
12 Days on the Road,Noel Monk,688112749,22.8,"In the mid-seventies, the Sex Pistols, the most controversial rock-and-roll band ever, erupted out of London, offending everyone from members of Parliament to the rock establishment it sought to unseat. With its raw, anarchic sounds, aura of sex and violence, outrageous behavior, and concerts that frequently degenerated into near-riots, the band changed the rules of rock-and-roll forever. Add to that the early death of band member Sid Vicious, by heroin overdose, and you have all the ingredients for a legend.In January 1978, the Sex Pistols came to the United States for a twelve-day tour, mostly of cities in the Deep South. 12 Days on the Road is an extraordinary moment-by-moment re-creation of that wild adventure by Noel E. Monk, the Sex Pistols' American tour manager, and veteran journalist Jimmy Guterman. Here is a sensational, ""explosive chapter in the history of rock"" (Booklist) that is also ""a touching and improbable tale of innocence and exploitation"" (Kirkus Reviews).",http://images.amazon.com/images/P/0688112749.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0688112749.01.MZZZZZZZ.jpg,2,1992,Biography & Memoir
1-2-3 Draw Knights Castles &amp; Dragons: A Step by Step Guide (1-2-3 Draw),Freddie Levin,939217430,29.61,Part of the 1-2-3 Draw Series--Ideal for children 6-10 years old! The world of fairy tales comes to life with the step-by-step instruction of talented art instructor Freddie Levin.,http://images.amazon.com/images/P/0939217430.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0939217430.01.MZZZZZZZ.jpg,7,2001,Kids & Young Adult
13 Going on 30,CHRISTA ROBERTS,553494627,30.1,"For some, 13 feels like it was just yesterday. For Jenna, it was.All Jenna Rink wants to be is pretty and popular. And on her thirteenth birthday, she gets her wish. When she wakes up, Jenna is stunned to find that she's . . . a grown-up! Read the novel based on the hilarious movie starring Jennifer Garner. Includes 8 pages of photos from the movie!",http://images.amazon.com/images/P/0553494627.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0553494627.01.MZZZZZZZ.jpg,9,2004,Kids & Young Adult
1421: The Year China Discovered America,Gavin Menzies,60537639,17.4,"The incredible true story of the discovery of America before Columbus was even born.Gavin Menzies's extraordinary findings rewrite history. On March 8, 1421, the largest fleet the world had ever seen sailed from its base in China. The ships, huge junks nearly five hundred feet long and built from the finest teak, were under the command of Emperor Zhu Di's loyal eunuch admirals. Their mission was ""to proceed all the way to the end of the earth to collect tribute from the barbarians beyond the seas"" and unite the whole world in Confucian harmony. Their journey would last more than two years and circle the globe.When they returned in October 1423, the emperor had fallen, leaving China in political and economic chaos. The great ships, now considered frivolous, were left to rot at their moorings and the records of their journeys were destroyed. Lost in China's long, self-imposed isolation that followed was the knowledge that Chinese ships had reached America seventy years before Columbus and circumnavigated the globe a century before Magellan. Also concealed were how the Chinese colonized America before the Europeans and transplanted to America, Australia, New Zealand and South America the principal economic crops that have fed and clothed the world.Now, in a landmark historical journey, Gavin Menzies, who spent fifteen years tracing the astonishing voyages of the Chinese fleet, shares the remarkable account of his discoveries and the incontrovertible evidence to support them. His compelling narrative pulls together ancient maps, precise navigational knowledge, astronomy and the surviving accounts of Chinese explorers and the later European navigators to prove that the Chinese had also discovered Antarctica, reached Australia three hundred and fifty years before Cook and solved the problem of longitude three hundred years ahead of the Europeans. 1421 describes the artifacts and inscribed stones left behind by the emperor's fleet, the evidence of wrecked junks along its route -- discovered in locations ranging from the middle of the Mississippi River to tributaries of the Amazon -- and the ornate votive offerings left by the Chinese sailors wherever they landed, in honor of Shao Lin, goddess of the sea.1421: The Year China Discovered America is the story of a remarkable journey of discovery that rewrites our understanding of history. Our knowledge of world exploration as it has been commonly accepted for centuries must now be reconceived due to this classic work of historical detection.",http://images.amazon.com/images/P/0060537639.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0060537639.01.MZZZZZZZ.jpg,10,2003,History & Politics
1632 (Assiti Shards (Paperback)),Eric Flint,671319728,25.89,"FREEDOM AND JUSTICE -- AMERICAN STYLE 1632 And in northern Germany things couldn't get much worse. Famine. Disease. Religous war laying waste the cities. Only the aristocrats remained relatively unscathed; for the peasants, death was a mercy. 2000 Things are going OK in Grantville, West Virginia, and everybody attending the wedding of Mike Stearn's sister (including the entire local chapter of the United Mine Workers of America, which Mike leads) is having a good time. THEN, EVERYTHING CHANGED.... When the dust settles, Mike leads a group of armed miners to find out what happened and finds the road into town is cut, as with a sword. On the other side, a scene out of Hell: a man nailed to a farmhouse door, his wife and daughter attacked by men in steel vests. Faced with this, Mike and his friends don't have to ask who to shoot. At that moment Freedom and Justice, American style, are introduced to the middle of the Thirty Years' War. Comprehensive Teacher's Guide available.",http://images.amazon.com/images/P/0671319728.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0671319728.01.MZZZZZZZ.jpg,7,2001,Fiction
1634 : The Galileo Affair (The Ring of Fire),Andrew Dennis,743488156,25.43,"As the Thirty Year's War continues to ravage Europe, the American town hurled from the 20th to the 17th century by a mysterious force has aroused the implacable hostility of Cardinal Richelieu of France, who has allied with his old enemies to stop this new threat to privilege and power. But the Americans and their Swedish allies are also moving behind the scenes, sending a medical team to Venice to prevent a plague, communicating with the Ottoman Empire, and reaching out to the Vatican, which has misgivings about Richelieu's lust for power. But a Venetian artisan may cause all their plans to come to naught. After reading a 20th century history book, he has become determined to rescue Galileo from his trial for heresy. The Americans are divided on whether to help him or stop him--and whether he succeeds or fails, the results may be catastrophic for the CPE.",http://images.amazon.com/images/P/0743488156.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0743488156.01.MZZZZZZZ.jpg,1,2004,Fiction
1921 : The Great Novel of the Irish Civil War (Irish Century),Morgan Llywelyn,312867549,32.57,"The Irish fight for independence is one of the most captivating tales of the twentieth century. Morgan Llywelyn, the acclaimed historical writer of books like Lion of Ireland, Bard and The Horse Goddess, is the writer born to bring this epic battle to life. Having created an entire body of work chronicling the Celts and Ireland, she now turns to recent Irish history to create a multivolume saga: The Irish Century.1921 tells the story of the Irish War of Independence and the heartbreaking civil war that followed. Henry Mooney, a reporter for theClare Champion and the Irish Bulletin, is a self-described ""moderate nationalist"" who struggles to see the truth in the news of the day, and to report it fairly. Lacking more radical Republican beliefs of his dear friends Ned Halloran and Sile Duffy, Henry reports the political--and later, bloody--actions of his fellow Irishman from the ashes of the failed 1916 Rising to the creation of the Irish Free State to the tragic and wide-ranging battles of the Irish Civil War.Meanwhile, Henry feels the impact of these history-changing events in his own personal life. His friendship with Ned falters when their political beliefs diverge, and an unexpected tragedy leaves them further apart than ever. Henry struggles with his passion for a well-bred Protestant Anglo-Irish woman, Ella Rutledge, and as he dutifully reports the events in the political battle for independence, he comes to realize that the Irish struggle for freedom wil leave no life untouched--and no Irish citizen with a dry eye or an untroubled heart.",http://images.amazon.com/images/P/0312867549.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0312867549.01.MZZZZZZZ.jpg,4,2001,Fiction
2001 - A Space Odyssey,Arthur C. Clarke,451198492,26.77,"It has been over thirty years since the publication of 2001: A Space Odyssey, the science fiction classic that changed the way we looked at the stars -- and ourselves. From the savannas of Africa at the dawn of mankind to the rings of Saturn as man ventures to the outer rim of our solar system, Arthur C. Clarke takes us on a journey unlike any other.This allegory about humanity's exploration of the universe, and the universe's reaction to humanity, was the basis for Stanley Kubrick's immortal film, and lives on as a hallmark achievement in storytelling.",http://images.amazon.com/images/P/0451198492.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0451198492.01.MZZZZZZZ.jpg,5,1999,Fiction
204 Rosewood Lane,Debbie Macomber,1551669293,35.02,"204 Rosewood Lane by Debbie Macomber released on Aug 23, 2002 is available now for purchase.",http://images.amazon.com/images/P/1551669293.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/1551669293.01.MZZZZZZZ.jpg,4,2002,Fiction
2061: Odyssey Three,Arthur C. Clarke,345413989,19.79,"Arthur C. Clark, creator of one of the world's best-loved science fiction tales, revisits the most famous future ever imagined in this NEW YORK TIMES bestseller, as two expeditions into space become inextricably tangled. Heywood Floyd, survivor of two previous encounters with the mysterious monloiths, must again confront Dave Bowman, HAL, and an alien race that has decided that Mankind is to play a part in the evolution of the galaxy whether it wishes to or not. --This text refers to an out of print or unavailable edition of this title.",http://images.amazon.com/images/P/0345413989.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0345413989.01.MZZZZZZZ.jpg,3,1997,Fiction
21 Great Stories,Abraham Harold Lass,451627857,38.83,Includes:- War by Luigi Pirandello- Eve in darkness by Kaatje Hurlbut- There will come soft rains by Ray Bradbury- Tobermory by Saki- The two bottles of relish by Lord Dunsany- Footfalls by Wilbur Daniel Steele- Hook by Walter Van Tilburg Clark- Wine on the desert by Max Brand- The lady or the tiger? by Frank Stockton- An occurrence at Owl Creek Bridge by Ambrose Bierce- The cask of Amontillado by Edgar Allan Poe- The tell-tale heart by Edgar Allan Poe- So much unfairness of things by C. D. B. Bryan- The necklace by Guy de Maupassant- The adventure of the speckled band by Arthur Conan Doyle- To build a fire by Jack London- Leiningen versus the ants by Carl Stephenson- Eveline by James Joyce- The secret life of Walter Mitty by James Thurber- What stumped the bluejays by Mark Twain- The pearl by John Steinbeck,http://images.amazon.com/images/P/0451627857.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0451627857.01.MZZZZZZZ.jpg,9,1991,Fiction
2nd Time Around (B-Boy Blues (Paperback)),James Earl Hardy,1555833721,25.67,"Pooquie and Little Bit are back in love and back to stirring up the hip-hop community and the rest of New York. But as these two strongly independent yet passionately linked men discover, the pursuit of happiness takes work to maintain. This is the seriously sexy, fiercely funny, black-on-black sequel to the bestseller B-Boy Blues.",http://images.amazon.com/images/P/1555833721.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/1555833721.01.MZZZZZZZ.jpg,8,1996,Fiction
3 2 1 ... Married,Sharon Sala,373483856,39.94,"Three women are determined to ring out the years of being single and ring in a new year as newlyweds in this special holiday collection from Silhouette! Don't miss three brand-new, lighthearted, romantic stories of women determined to find love -- by the New Year!",http://images.amazon.com/images/P/0373483856.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0373483856.01.MZZZZZZZ.jpg,10,1999,Fiction
30 Days to a Simpler Life,Connie Cox,452280133,32.15,"Connie Cox and Cris Evatt, the authors of Simply Organized have teamed up once again and created a new step-by-step guide to simplifying your life in only thirty days. Organized in a day-by-day format, the book offers simple steps which take in an hour or less to cut down on clutter. Each section is followed by instructions for more in-depth simplifying each area (one's workplace, closets, vacation, or errand routines, a cluttered mind, and more), and a tip checklist is included for readers interested in ""maximum simplification."" Written in an inspirational style and a clear, down-to-earth format, 30 Days to a Simpler Life contains adages, anecdotes, and quotes from philosophers, designers, psychologists, financial planners, and other experts. The authors also include a guide to related books, newsletters, and websites to further assist readers in reaching their goal of simpler living.",http://images.amazon.com/images/P/0452280133.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0452280133.01.MZZZZZZZ.jpg,4,1998,Non-fiction
3000 Degrees: The True Story of a Deadly Fire and the Men Who Fought It,Sean Flynn,446528315,17.87,"In the fading industrial city of Worcester, Massachusetts, there are men whose jobs are to brave danger, endure long shifts, and trust other men with their lives. Like their counterparts in cities and small towns everywhere, they are firefighters, and like firefighters everywhere, they take enormous pride in their brotherhood and their calling. On December 3, 1999, as the men of Central Street and other Worcester stations lived their daily lives, worked second jobs, and raised their children, they did not know an inferno unlike anything they had ever seen was about to put them to the ultimate test.The fire at Worcester Cold Storage was ignited by two vagrants' Christmas candle. When the first firefighters arrived on the scene, the building-a hulking, abandoned, windowless warehouse-was waiting to explode. As men fought to contain the flames with hoses, they were suddenly surrounded by confusing, suffocating darkness and searing steam. Worcester Cold Storage-with its mazelike layout and rooms so insulated that they prevented men from hearing each other's alarms-was turning into a furious beast, disorienting those inside it, seemingly determined to kill as many men as it could.3000 DEGREES stands with the best works of American reportage. Sean Flynn takes us into the private lives of men heading inexorably into one sudden shared, overwhelming battle. He captures the agony of working wives and mothers hearing the news with mounting terror and a community being hurtled toward unbearable loss. Most of all, he vividly depicts the moments of truth, when ordinary men know that their brothers are going to die, and that to live with themselves, to take another single breath, they too must be prepared to lay down their lives.",http://images.amazon.com/images/P/0446528315.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0446528315.01.MZZZZZZZ.jpg,4,2002,History & Politics
311 Pelican Court,Debbie Macomber,1551667193,25.93,"311 Pelican Court by Debbie Macomber released on Aug 25, 2003 is available now for purchase.",http://images.amazon.com/images/P/1551667193.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/1551667193.01.MZZZZZZZ.jpg,9,2003,Fiction
36 Children,Herbert Kohl,452264634,34.84,"A former teacher recalls his two years in a Harlem school. A new Introduction and a wide selection of stories, poetry, and drawings by the children are included.",http://images.amazon.com/images/P/0452264634.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264634.01.MZZZZZZZ.jpg,10,1990,Non-fiction
36 Hours Christmas (Silhouette Promo),Mary Lynn Baxter,373484127,18.33,"Days before Christmas, a storm sweeps a small Colorado town.... Shocking secrets are revealed. Couples are united. Families and futures are made. This exciting collection has it all - in three brand-new stories by three beloved authors! A wealthy rancher delivers the baby of the vulnerable beauty he has always loved, in a captivating story byMary Lynn BaxterA doctor husband comes to the rescue of his estranged wife - and discovers the secrets that once tore his bride from his loving arms, in a n emotional story byMarilyn PappanoA sexy CEO pursues his single-and-pregnant secretary all the way to the altar when he learns she is in need of his passionate protection, in an enthralling story byChristine Flynn Let this romance-filled collection change your life this Christmas!",http://images.amazon.com/images/P/0373484127.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0373484127.01.MZZZZZZZ.jpg,6,2000,Fiction
365 Easy One-Dish Meals,Natalie H. Haughton,60186623,18.33,"Here, in one volume, is a year's worth of simple, sumptuous recipesthat are also hassle-free. Hassle-free because in every caseOne DishEquals One Pot. That's one pot to cook in and only one pot to cleanup. Whether your pot-of-choice is a casserole, a kettle, a slow-cooker,or a wok, and whether your specific cooking need is a speedy, skilletweekday supper or a savory, slow-simmering weekend stew, you'llfind plenty of healthy, nutritious recipes to choose from.Cash in on cooking speed with time-saving dishes like Turkey withBananas and Peanuts, Skillet Lasagne, and Sweet and SourChicken. Enjoy the easy comfort of stews and soups, with such one-dish recipes as Vegetable Chili, Irish Pub Soup and Hearty BeefBorscht. Toss together a popular plate of pasta like Spicy ThaiChicken Noodles or Curried Penne with Shrimp, or a big bowl ofmain-course salad, like Chicken-Papaya Salsa Salad or Turkey andBlack Bean Salad. Whatever your family's needs, whichever pot youreach for, here are 365 EASY ONE-DISH MEALS designed to makesuppertime a snap.",http://images.amazon.com/images/P/0060186623.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0060186623.01.MZZZZZZZ.jpg,8,1996,Cooking & Food
4:50 From Paddington (Miss Marple Mysteries (Paperback)),Agatha Christie,451200519,19.44,"Previously published as What Mrs. McGillicuddy Saw.Elspeth McGillicuddy is not given to hallucinations. Until she witnesses a murder at Paddington Station. But did she? No victim, no suspect, no other witnesses. In fact no one believes it really happened at all. Except her friend Miss Jane Marple, and she's returning to the scene of the crime to discover just exactly what Mrs. McGillicuddy saw.Sensible Elspeth McGillicuddy is not given to hallucinations. Or is she? After she boards the Paddington Station train and becomes a witness to an apparent murder, no one believes her but her friend-the indomitable sleuth Miss Jane Marple.",http://images.amazon.com/images/P/0451200519.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0451200519.01.MZZZZZZZ.jpg,8,2000,Fiction
45 Master Characters: Mythic Models for Creating Original Characters,Victoria Schmidt,1582970696,24.81,"This volume explores the most common male and female archetypes, provides instructions for using them to create original characters and gives examples of how other authors have brought such archetypes to life in novels, films and television.",http://images.amazon.com/images/P/1582970696.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/1582970696.01.MZZZZZZZ.jpg,9,2001,Non-fiction
500 Bowls: Contemporary Explorations of a Timeless Design,Suzanne J. E. Tourtillott,1579903622,22.82,"Five hundred inspiring variations on the simple, functional bowl will fire any potter's imagination. Displayed on each page are bowls that reinvent and reinterpret the form, and use techniques from across the globe and through the centuries. More importantly, every piece, such as Kate Maury's wheel-thrown porcelain, Stephen F. Fabrico's slab-built bowl with handles, and Ruchika Madan's stoneware Fruit Bowl, testifies to the artist's boundless inventiveness. Captions give each bowl's size, with details on its material and glazes.",http://images.amazon.com/images/P/1579903622.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/1579903622.01.MZZZZZZZ.jpg,5,2003,"Hobbies, Crafts & Games"
75 Short Masterpieces,Roger B. Goodman,553251414,23.71,Seventy-five short masterpieces of fiction.A wedding without musicians / Sholem Aleichem --He swung and he missed / Nelson Algren --Senor Payroll / William E. Barrett --Houseparty / Walter Bernstein --How light belief bringeth damage / Bidpai --A psychological shipwreck / Ambrose Bierce --The father / Bjornstjerne Bjornson --Neifile's story / Boccaccio --I see you never / Ray Bradbury --The lottery ticket / Ventura Garcia Calderon --Daughter / Erskine Caldwell --A wicked boy / Anton Chekhov --Luck / Samuel Clemens --The chaser / John Collier --The upturned face / Stephen Crane --A game of billiards / Alphonse Daudet --Fear / Rhys Davies --The riddle / Walter De La Mare --The jewels of M. Lantin / Guy De Maupassant --The heavenly Christmas tree / Fyodor Dostoevsky --The ghosts / Lord Dunsany --The scoop / James T. Farrell --The bedchamber mystery / C.S. Forester --Mr. Andrews / E.M. Forster --The test / Angelica Gibbs. Truth and consequences / Brendan Gill --The disabled soldier / Oliver Goldsmith --Virtuoso / Herbert Goldstone --Her lover / Maxim Gorky --Proof positive / Graham Greene --The butterfly / James Hanley --Absent-mindedness in a parish choir / Thomas Hardy --The hollow of the three hills / Nathaniel Hawthorne --A question of blood / Ernest Haycox --The boy who drew cats / Lafcadio Hearn --The lost soul / Ben Hecht --The exact science of matrimony / O. Henry --Fard / Aldous Huxley --The wife / Washington Irving --Charles / Shirley Jackson --Then came the legions / Mackinlay Kantor --If not higher / Isaac Loeb Perez --The wild duck's nest / Michael Mclaverty --A toast to Captain Jerk / Russell Maloney --Germans at meat / Katherine Mansfield --Born of man and woman / Richard Matheson --The ant and the grasshopper / Somerset Maugham --The guardian angel / Andre Maurois --The fiddler / Herman Melville --The pearl of Toledo / Prosper Merimee --The sniper / Liam O'Flaherty. The crime on Calle De La Persequida / Palacio Valdes --How the devil lost his poncho / Richard Palma --The standard of living / Dorothy Parker --The oval portrait / Edgar Allan Poe --Three letters- and a footnote / Horacio Quiroga --A dangerous guy indeed / Damon Runyon --Reginald's choir treat / Saki --The kiss / William Sansom --The shepherd's daughter / William Saroyan --The foreigner / Frances Steegmuller --Tom Varnish / Richard Steele --Over the hill / John Steinbeck --An attempt at reform / August Strindberg --The three hermits / Leo Tolstoy --The doctor's heroism / Villiers De L'Isle-Adam --The beggar-woman of Locarno / Heinrich Von Kleist --The phoenix / Sylvia Townsend Warner --Slipping beauty / Jerome Weidman --The hour of letdown / E.B. White --Moonlight sonata / Alexander Woollcott --God / Eugene Ivanovich Zamiatin --HoewGrandpa came into the money . Elsa Zantner --The three veterans / Leane Zugsmith --Kong at the seaside / Arnold Zweig,http://images.amazon.com/images/P/0553251414.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0553251414.01.MZZZZZZZ.jpg,5,1996,Fiction
77th Street Requiem (Maggie Macgowen Mystery),Wendy Hornsby,451406753,20.65,"Maggie looks into the decades-old murder of a controversial copA long time ago, Roy Frady was a perfect cop. Now heâ€™s perfect fodder for one of Maggie MacGowenâ€™s documentaries. Frady worked narcotics in the Seventy-seventh Street Division as part of a unit nicknamed the Four Horsemen. A merry band of iron-fisted brothers, they kept their district clean of drugs until a litany of brutality charges caused their downfall. Not long after, Roy Frady was found with a 9-mm slug in his skull. The case remained unsolved for two decades. One of the Four Horsemen was Mike Trent, who went on to become a homicide detective and the love of Maggieâ€™s life. Through the years, Fradyâ€™s file never left his desk, and as he approaches retirement he vows to close the case. Maggie plans a documentary about Mikeâ€™s investigation, unaware that she and her camera will find things in his past that are too ugly to be known.",http://images.amazon.com/images/P/0451406753.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0451406753.01.MZZZZZZZ.jpg,8,1996,Fiction
77th Street Requiem: A Maggie MacGowen Mystery,Wendy Hornsby,525939989,16.53,"Maggie looks into the decades-old murder of a controversial copA long time ago, Roy Frady was a perfect cop. Now heâ€™s perfect fodder for one of Maggie MacGowenâ€™s documentaries. Frady worked narcotics in the Seventy-seventh Street Division as part of a unit nicknamed the Four Horsemen. A merry band of iron-fisted brothers, they kept their district clean of drugs until a litany of brutality charges caused their downfall. Not long after, Roy Frady was found with a 9-mm slug in his skull. The case remained unsolved for two decades. One of the Four Horsemen was Mike Trent, who went on to become a homicide detective and the love of Maggieâ€™s life. Through the years, Fradyâ€™s file never left his desk, and as he approaches retirement he vows to close the case. Maggie plans a documentary about Mikeâ€™s investigation, unaware that she and her camera will find things in his past that are too ugly to be known.",http://images.amazon.com/images/P/0525939989.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0525939989.01.MZZZZZZZ.jpg,10,1995,Fiction
8 Minutes in the Morning: A Simple Way to Shed up to 2 Pounds a Week Guaranteed,Jorge Cruise,60505389,25.21,"With 8 Minutes in the Morning you will:NOT do aerobics, NOT spend hours in the gym,and NOT be on a starvation diet.What's Jorge's get-slim secret? Just 8 minutes of his unique strength-training moves done in the privacy of your home. A few minutes each morning is all you need to lose up to 2 pounds a week. Add the cutting-edge eating program that teaches you how to eat the right fats to satiate your hunger and cut your calories, plus a daily dose of motivational support from Jorge, and weight loss has never been easier!Jorge's fat-burning program includes:Two super-quick moves a day A delicious eating plan where you don't count calories and you must eat fat Daily pep ""talks"" to help you hit the ground running Access to Jorge's online community that will help keep you encouraged and connectedPlus, you'll find Jorge's brand-new ""On-the-Go"" Weight-Loss Travel Cards inside.So get ready to look slimmer, sexier, stronger in just 8 minutes!",http://images.amazon.com/images/P/0060505389.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0060505389.01.MZZZZZZZ.jpg,9,2002,"Health, Fitness & Self-Help"
